0
1
36,375
45,125
51,5625
55,9375
55,375
48,0625
38,0625
25
8,625
-5,3125
-14,9375
-18,75
-18,5625
-13,8125
-4,8125
7,6875
20,25
31,9375
40,6875
43,3125
40
31,625
18,625
2,3125
-12,125
-23,625
-29,5625
-29,625
-25,5625
-18,9375
-9,8125
0
5
5,9375
10,5
15,4375
14,6875
12,75
15
21,8125
33,875
45,75
56,375
67,0625
74,75
77,875
82,5625
84,3125
82,8125
80,9375
75,5
70,375
68,5
68,8125
71,5
75,75
80,4375
86,1875
85,5625
82,25
78,5625
71,5
63,3125
55
50,6875
49,375
46,8125
48,0625
52,8125
